År,cd,cassette,download,vinyl,streaming,length
1973,,0.501,,9.465,,232.112
1974,,0.518,,9.201,,235.848
1975,,0.537,,9.228,,230.649
1976,,0.749,,9.814,,237.252
1977,,1.205,,11.784,,232.282
1978,,2.019,,12.27,,230.241
1979,,2.34,,9.717,,217.481
1980,,2.504,,8.702,,214.392
1981,,3.422,,8.365,,215.928
1982,,4.199,,6.696,,218.148
1983,0.051,5.321,,5.754,,218.776
1984,0.291,6.715,,5.204,,217.778
1985,1.059,6.559,,4.247,,224.616
1986,2.484,6.674,,3.234,,223.435
1987,4.105,7.662,,2.567,,230.003
1988,5.194,8.516,,1.763,,240.796
1989,6.107,8.356,,0.795,,234.431
1990,7.742,8.353,,0.405,,236.24
1991,9.396,6.983,,0.2,,229.299
1992,11.205,7.124,,0.167,,234.246
1993,13.28,6.51,,0.125,,239.566
1994,16.826,6.42,,0.128,,237.378
1995,18.22,4.877,,0.138,,239.136
1996,18.874,3.907,,0.157,,243.126
1997,18.576,3.02,,0.126,,235.982
1998,20.879,2.719,,0.107,,240.074
1999,22.904,1.949,,0.105,,240.098
2000,22.701,1.072,,0.092,,242.663
2001,21.464,0.601,,0.097,,244.655
2002,19.625,0.341,,0.074,,242.331
2003,17.923,0.172,,0.069,,239.084
2004,17.757,0.037,0.284,0.061,,239.535
2005,15.781,0.02,0.748,0.041,0.224,240.627
2006,13.617,0.005,1.243,0.037,0.299,239.63
2007,10.538,0.004,1.847,0.038,0.33,240.985
2008,7.442,0.001,2.267,0.081,0.301,237.139
2009,5.896,,2.614,0.09,0.281,236.831
2010,4.553,,2.964,0.122,0.285,248.345
2011,4.039,,3.374,0.161,0.47,242.306
2012,3.172,,3.632,0.211,0.728,237.202
2013,2.693,,3.525,0.268,1.086,241.011
2014,2.2,,3.057,0.308,1.303,235.075
2015,1.786,,2.778,0.419,1.888,228.906
2016,1.379,,2.157,0.439,3.647,231.237
2017,1.247,,1.573,0.471,5.691,230.847
2018,0.811,,1.148,0.495,7.36,223.684
2019,0.722,,0.89,0.557,9.128,216.236
2020,0.547,,0.704,0.735,10.264,203.459
2021,0.632,,0.618,1.137,12.283,190.967
